Bin,Species,TTT,Date,Day,Crown,Ht
D1,LOCA,G-,Feb-29,148,65.5,30
D2,DICI,G+,Feb-29,148,137,121
D3,SCBI,G-,Feb-29,148,52.5,60
D4,LOCA,G+,Feb-29,148,57.5,36
E1,DICI,G-,Feb-29,148,182.5,150
E2,SCBI,G+,Feb-29,148,21.5,21
E3,LOCA,G-,Feb-29,148,75.5,78
E4,SCBI,G+,Feb-29,148,40,27
F2,SCBI,G+,Feb-29,148,29,32
F3,DICI,G+,Feb-29,148,106.5,97
F4,LOCA,G+,Feb-29,148,56.5,18
A1,DICI,G-,7-Mar,155,211,154
A2,SCBI,G-,7-Mar,155,59.5,38
A3,LOCA,G-,7-Mar,155,72.5,101
A4,LOCA,G+,7-Mar,155,32,31
B1,DICI,G+,7-Mar,155,183.5,135
B2,SCBI,G-,7-Mar,155,56.5,40
B3,LOCA,G+,7-Mar,155,55.5,37
B4,DICI,G-,7-Mar,155,178,144
C1,SCBI,G+,7-Mar,155,36.5,31
C2,DICI,G-,7-Mar,155,186,131
C3,LOCA,G-,7-Mar,155,61,57
C4,SCBI,G-,7-Mar,155,63,30
D1,LOCA,G-,7-Mar,155,65.5,30
D2,DICI,G+,7-Mar,155,142,126
D3,SCBI,G-,7-Mar,155,57,65
D4,LOCA,G+,7-Mar,155,57.5,36
E1,DICI,G-,7-Mar,155,187.5,158
E2,SCBI,G+,7-Mar,155,21.5,21
E3,LOCA,G-,7-Mar,155,75.5,97
E4,SCBI,G+,7-Mar,155,40,27
F2,SCBI,G+,7-Mar,155,29,32
F3,DICI,G+,7-Mar,155,108,100
F4,LOCA,G+,7-Mar,155,56.5,18
A1,DICI,G-,14-Mar,162,215,157
A2,SCBI,G-,14-Mar,162,59.5,38
A3,LOCA,G-,14-Mar,162,77,119
A4,LOCA,G+,14-Mar,162,52.5,32
B1,DICI,G+,14-Mar,162,197,138
B2,SCBI,G-,14-Mar,162,56.5,40
B3,LOCA,G+,14-Mar,162,56.5,37
B4,DICI,G-,14-Mar,162,178,145
C1,SCBI,G+,14-Mar,162,36.5,31
C2,DICI,G-,14-Mar,162,190,136
C3,LOCA,G-,14-Mar,162,61,60
C4,SCBI,G-,14-Mar,162,63,34
D1,LOCA,G-,14-Mar,162,65.5,34
D2,DICI,G+,14-Mar,162,142.5,127
D3,SCBI,G-,14-Mar,162,57,72
D4,LOCA,G+,14-Mar,162,57.5,36
E1,DICI,G-,14-Mar,162,204.5,165
E2,SCBI,G+,14-Mar,162,21.5,21
E3,LOCA,G-,14-Mar,162,77,117
E4,SCBI,G+,14-Mar,162,40,27
F2,SCBI,G+,14-Mar,162,29,32
F3,DICI,G+,14-Mar,162,119,102
F4,LOCA,G+,14-Mar,162,56.5,18
A1,DICI,G-,21-Mar,169,217.5,162
A2,SCBI,G-,21-Mar,169,59.5,38
A3,LOCA,G-,21-Mar,169,77.5,142
A4,LOCA,G+,21-Mar,169,52.5,32
B1,DICI,G+,21-Mar,169,199,142
B2,SCBI,G-,21-Mar,169,56.5,40
B3,LOCA,G+,21-Mar,169,56.5,37
B4,DICI,G-,21-Mar,169,180,147
C1,SCBI,G+,21-Mar,169,36.5,31
C2,DICI,G-,21-Mar,169,195,143
C3,LOCA,G-,21-Mar,169,61,67
C4,SCBI,G-,21-Mar,169,63,34
D1,LOCA,G-,21-Mar,169,65.5,34
D2,DICI,G+,21-Mar,169,144,132
D3,SCBI,G-,21-Mar,169,63.5,81
D4,LOCA,G+,21-Mar,169,57.5,36
E1,DICI,G-,21-Mar,169,207,170
E2,SCBI,G+,21-Mar,169,21.5,21
E3,LOCA,G-,21-Mar,169,79,138
E4,SCBI,G+,21-Mar,169,40,27
F2,SCBI,G+,21-Mar,169,29,32
F3,DICI,G+,21-Mar,169,121,107
F4,LOCA,G+,21-Mar,169,56.5,18
A1,DICI,G-,4-Apr,183,246,182
A2,SCBI,G-,4-Apr,183,59.5,38
A3,LOCA,G-,4-Apr,183,80.5,180
A4,LOCA,G+,4-Apr,183,52.5,33
B1,DICI,G+,4-Apr,183,226.5,160
B2,SCBI,G-,4-Apr,183,56.5,40
B3,LOCA,G+,4-Apr,183,60,41
B4,DICI,G-,4-Apr,183,223.5,162
C1,SCBI,G+,4-Apr,183,36.5,31
C2,DICI,G-,4-Apr,183,225,159
C3,LOCA,G-,4-Apr,183,74.5,90
C4,SCBI,G-,4-Apr,183,63,45
D1,LOCA,G-,4-Apr,183,66.5,45
D2,DICI,G+,4-Apr,183,173,150
D3,SCBI,G-,4-Apr,183,72,98
D4,LOCA,G+,4-Apr,183,57.5,36
E1,DICI,G-,4-Apr,183,221.5,189
E2,SCBI,G+,4-Apr,183,21.5,26
E3,LOCA,G-,4-Apr,183,79.5,164
E4,SCBI,G+,4-Apr,183,40,27
F2,SCBI,G+,4-Apr,183,29,32
F3,DICI,G+,4-Apr,183,137,120
F4,LOCA,G+,4-Apr,183,56.5,18
A1,DICI,G-,11-Apr,190,247,184
A2,SCBI,G-,11-Apr,190,59.5,38
A3,LOCA,G-,11-Apr,190,80.5,180
A4,LOCA,G+,11-Apr,190,52.5,33
B1,DICI,G+,11-Apr,190,238,162
B2,SCBI,G-,11-Apr,190,56.5,40
B3,LOCA,G+,11-Apr,190,60,50
B4,DICI,G-,11-Apr,190,224.5,164
C1,SCBI,G+,11-Apr,190,36.5,31
C2,DICI,G-,11-Apr,190,229.5,164
C3,LOCA,G-,11-Apr,190,80,98
C4,SCBI,G-,11-Apr,190,63,45
D1,LOCA,G-,11-Apr,190,67,45
D2,DICI,G+,11-Apr,190,174.5,150
D3,SCBI,G-,11-Apr,190,81,107
D4,LOCA,G+,11-Apr,190,57.5,36
E1,DICI,G-,11-Apr,190,226,197
E2,SCBI,G+,11-Apr,190,21.5,27
E3,LOCA,G-,11-Apr,190,79.5,172
E4,SCBI,G+,11-Apr,190,40,27
F2,SCBI,G+,11-Apr,190,29,32
F3,DICI,G+,11-Apr,190,137,123
F4,LOCA,G+,11-Apr,190,56.5,18
