Day,Bin,GWC_30cm,GWC_10cm
10,21,11.012899,9.277794525
10,22,9.710577333,NA
10,23,NA,12.21412321
10,24,8.647622333,5.794853863
10,25,NA,11.23239523
10,26,11.295129,NA
10,27,10.479334,NA
10,28,10.306489,11.12190554
10,29,10.48072567,NA
10,30,12.329694,6.793889888
10,31,NA,7.856120375
10,32,10.506054,8.296267794
10,33,11.58431733,NA
10,34,10.45289233,NA
10,35,16.39308233,5.400190356
10,39,NA,10.57126844
10,40,12.08643067,10.16352328
11,1,13.49257067,8.595535838
11,2,13.807644,8.245752475
11,3,10.632139,13.10528589
11,4,12.13959233,8.431310738
11,5,23.638934,NA
11,6,15.710609,7.773404056
11,7,7.746657333,NA
11,8,15.412514,1.589604519
11,9,11.67728067,5.112997688
11,10,10.88458733,7.928773881
11,11,10.69198067,5.729848094
11,12,11.49441567,3.336307513
11,13,12.59244067,NA
11,14,10.95806733,9.218625188
11,15,11.61604733,5.354505188
11,16,12.87049567,NA
11,17,10.816674,7.335671713
11,18,13.47420067,8.583661719
11,19,13.784264,8.23528715
11,20,10.672219,5.718577744
11,21,12.11565567,9.858418806
11,22,10.93496567,NA
11,23,NA,11.85166071
11,24,10.02203233,6.102172156
11,25,NA,11.63229139
11,26,11.65724067,NA
11,27,10.86065067,NA
11,28,10.61182067,13.07972634
11,29,11.47242733,NA
11,30,12.566834,6.507502244
11,31,NA,8.4204429
11,32,12.01629067,8.895608906
11,33,12.843219,NA
11,34,10.794964,NA
11,35,17.68844567,5.368391869
11,39,NA,11.52220423
11,40,13.633964,12.34453726
12,1,14.04506233,9.02099155
12,2,13.70354733,7.952924631
12,3,10.62351067,12.43127871
12,4,12.28655233,8.461297919
12,5,23.37785733,NA
12,6,15.79967567,7.313131013
12,7,7.549319,NA
12,8,15.81442733,1.616975369
12,9,11.796129,5.132117031
12,10,10.753214,7.744825669
12,11,11.46324233,5.816187025
12,12,11.97621067,3.327049725
12,13,12.65924067,NA
12,14,11.081369,9.043733506
12,15,11.76384233,5.383083575
12,16,13.429389,NA
12,17,10.81778733,7.589455844
12,18,14.032259,9.013545069
12,19,13.679889,7.942056794
12,20,11.441254,5.805117931
12,21,12.26846067,10.05564993
12,22,10.97142733,NA
12,23,NA,11.91405014
12,24,9.384092333,5.960085244
12,25,NA,11.92371044
12,26,11.77664567,NA
12,27,10.73456567,NA
12,28,10.607089,12.40853675
12,29,11.95032567,NA
12,30,12.63335567,6.434244969
12,31,NA,8.510203188
12,32,11.77135733,9.002475975
12,33,13.40211233,NA
12,34,10.79524233,NA
12,35,17.99043733,5.548918725
12,39,NA,10.86067493
12,40,14.155839,11.46786504
13,1,13.81738567,8.877093331
13,2,13.74474067,7.97445905
13,3,10.472654,11.46766378
13,4,11.86682567,7.997201006
13,5,23.26457567,NA
13,6,16.18433233,6.837159981
13,7,7.262635667,NA
13,8,15.46734567,1.573705275
13,9,11.55509233,5.010155744
13,10,10.57508067,7.711417131
13,11,11.16459067,5.705093575
13,12,11.094729,3.190396731
13,13,12.55486567,NA
13,14,10.46569567,8.461297919
13,15,11.24308067,5.25025445
13,16,12.388979,NA
13,17,10.68613567,8.547435594
13,18,13.80486067,8.864414188
13,19,13.72191733,7.967817594
13,20,11.14037567,5.695835788
13,21,11.845394,9.692583656
13,22,10.33293067,NA
13,23,NA,12.19279005
13,24,8.729452333,5.751986281
13,25,NA,11.67435395
13,26,11.538949,NA
13,27,10.55309233,NA
13,28,10.45317067,11.44894695
13,29,11.069679,NA
13,30,12.52786733,6.401842713
13,31,NA,8.066433156
13,32,10.97059233,8.6233092
13,33,12.36198067,NA
13,34,10.66526067,NA
