"Bin","Day","GWC","Depth"
14,90,11.80336567,30
14,90,9.716331894,10
14,91,11.52447567,30
14,91,9.189845544,10
14,92,11.09946067,30
14,92,8.803433544,10
14,93,11.65445733,30
14,93,9.556735688,10
14,94,11.624954,30
14,94,9.624961556,10
14,95,10.93747067,30
14,95,8.915935788,10
14,96,10.700609,30
14,96,8.577825288,10
14,97,10.616274,30
14,97,8.216369063,10
14,98,11.45183067,30
14,98,9.635225625,10
14,99,11.614934,30
14,99,9.565993475,10
14,100,10.987014,30
14,100,8.984362913,10
14,101,10.43396567,30
14,101,8.355638388,10
14,102,10.46235567,30
14,102,8.037049744,10
14,103,10.346569,30
14,103,7.686863869,10
14,104,10.65023067,30
14,104,8.639610956,10
14,105,11.445429,30
14,105,9.633615575,10
14,106,10.84367233,30
14,106,9.015960144,10
14,107,10.80776733,30
14,107,8.675635825,10
14,108,11.21190733,30
14,108,9.434975656,10
14,109,10.72510233,30
14,109,8.88574735,10
14,110,9.025042333,30
14,110,7.517406106,10
14,111,11.00482733,30
14,111,8.799810931,10
15,0,11.29707733,30
15,0,5.547107419,10
15,1,10.874289,30
15,1,5.423334825,10
15,2,10.440924,30
15,2,5.438227788,10
15,3,11.57374067,30
15,3,5.462378538,10
15,4,11.61799567,30
15,4,5.403812969,10
15,5,11.218309,30
15,5,5.4321901,10
15,6,10.77882067,30
15,6,5.422932313,10
15,7,11.490519,30
15,7,5.378857194,10
15,8,11.65640567,30
15,8,5.400995381,10
15,9,11.148169,30
15,9,5.349473781,10
15,10,10.784944,30
15,10,5.385297394,10
15,11,11.61604733,30
15,11,5.354505188,10
15,12,11.76384233,30
15,12,5.383083575,10
15,13,11.24308067,30
15,13,5.25025445,10
15,14,10.87651567,30
15,14,5.264342388,10
15,15,11.72571067,30
15,15,5.283059219,10
15,16,11.81644733,30
15,16,5.300568513,10
15,17,11.26145067,30
15,17,5.309625044,10
15,18,10.87818567,30
15,18,5.212418275,10
15,19,10.63659233,30
15,19,5.254279575,10
15,20,10.76462567,30
15,20,5.381272269,10
15,21,11.872949,30
15,21,5.507057425,10
15,22,11.311829,30
15,22,5.312040119,10
15,23,10.97142733,30
15,23,5.3452474,10
15,24,11.143159,30
15,24,5.229525056,10
15,25,12.25315233,30
15,25,5.277222788,10
15,26,11.62439733,30
15,26,5.412265731,10
15,27,11.07441067,30
15,27,5.396165231,10
15,28,11.72821567,30
15,28,5.296543388,10
15,29,11.80141733,30
15,29,5.448693113,10
15,30,11.17767233,30
15,30,5.41769965,10
15,31,10.71035067,30
15,31,5.476265219,10
15,32,11.401174,30
15,32,5.609899369,10
15,33,11.837044,30
15,33,5.435812713,10
15,34,11.230834,30
15,34,5.416894625,10
15,35,10.694764,30
15,35,5.389725031,10
15,36,11.67449733,30
15,36,5.473246375,10
15,37,11.78332567,30
15,37,5.482504163,10
15,38,11.142324,30
15,38,5.386706188,10
15,39,10.68029067,30
15,39,5.277424044,10
15,40,11.660859,30
15,40,5.360945388,10
15,41,11.89772067,30
15,41,5.417498394,10
15,42,11.224989,30
15,42,5.433598894,10
15,43,10.70673233,30
15,43,5.40481925,10
15,44,11.79139733,30
15,44,5.320090369,10
15,45,12.06555567,30
15,45,5.403812969,10
15,46,11.44348067,30
15,46,5.347461219,10
15,47,10.96419067,30
15,47,5.424944875,10
15,48,11.58376067,30
15,48,5.463988588,10
15,49,12.02130067,30
15,49,5.485925519,10
15,50,11.378629,30
15,50,5.47566145,10
15,51,10.91158567,30
15,51,5.423536081,10
15,52,11.984004,30
15,52,5.298958463,10
15,53,12.163529,30
15,53,5.347662475,10
15,54,11.55704067,30
15,54,5.437825275,10
15,55,11.19854733,30
15,55,5.317474038,10
15,56,11.80587067,30
15,56,5.303788613,10
15,57,12.11788233,30
15,57,5.418303419,10
15,58,11.451274,30
15,58,5.226506213,10
15,59,10.86621733,30
15,59,5.325524288,10
15,60,11.20773233,30
15,60,5.373020763,10
15,61,12.21056733,30
15,61,5.362152925,10
15,62,11.45183067,30
15,62,5.352291369,10
15,63,10.95973733,30
15,63,5.442252913,10
15,64,11.82563233,30
15,64,5.59158505,10
15,65,12.09895567,30
15,65,5.595811431,10
15,66,11.53282567,30
15,66,5.575082038,10
15,67,10.938584,30
15,67,5.481497881,10
15,68,11.71875233,30
15,68,5.663634788,10
15,69,11.948934,30
15,69,5.666049863,10
15,70,11.19799067,30
15,70,5.275008969,10
15,71,10.98005567,30
15,71,5.216644656,10
15,72,12.03967067,30
15,72,5.333574538,10
15,73,12.41542067,30
15,73,5.550931288,10
15,74,11.61771733,30
15,74,5.64954685,10
15,75,11.05687567,30
15,75,5.618352131,10
15,76,12.276254,30
15,76,5.413674525,10
15,77,12.39705067,30
15,77,5.467007431,10
15,78,11.625789,30
15,78,5.553950131,10
15,79,11.12868567,30
15,79,5.483107931,10
15,80,NA,30
15,80,5.439032813,10
15,81,NA,30
15,81,5.384693625,10
15,82,NA,30
15,82,5.682552875,10
15,83,NA,30
15,83,5.800489038,10
15,84,NA,30
15,84,5.861469681,10
15,85,NA,30
15,85,5.883809125,10
15,86,NA,30
15,86,5.724816688,10
15,87,NA,30
15,87,5.482705419,10
15,88,NA,30
15,88,5.544289831,10
15,89,NA,30
15,89,5.5094725,10
15,90,NA,30
15,90,5.850400588,10
15,91,12.223649,30
15,91,6.061920906,10
15,92,11.652509,30
15,92,6.195152544,10
15,93,11.98177733,30
15,93,5.921242788,10
15,94,12.21223733,30
15,94,5.895481988,10
15,95,11.487179,30
15,95,NA,10
15,96,10.962799,30
15,96,NA,10
15,97,10.44120233,30
15,97,NA,10
15,98,11.656684,30
15,98,NA,10
15,99,12.24508067,30
15,99,NA,10
15,100,11.43735733,30
