Site,Plot,Sp,Ht,Dam,X,Y
KIR,1,comtro,0.8,3,4.05775,32.4633337
KIR,1,comtro,0.8,3,10.6281875,4.392223863
KIR,1,comtro,0.5,4,11.616,48.6005201
KIR,1,comtro,0.9,4,15.852,42.12573203
KIR,1,grefal,3.1,2,17.59625,22.6729351
KIR,1,grefal,1.2,3,15.27875,1.928677899
KIR,1,grefal,0.75,3,15.698,10.88038584
KIR,1,lonspp,7.2,0,18.67275,40.39123278
KIR,1,lonspp,9.1,1,3.881,32.21860976
KIR,1,lonspp,4.8,1,7.34875,38.79482827
KIR,1,lonspp,5.6,1,8.747,35.19020625
KIR,1,lonspp,7,1,12.28475,21.77349116
KIR,1,lonspp,3.9,1,12.296,37.12955385
KIR,1,lonspp,8.4,1,18.256,22.5326089
KIR,1,lonspp,3.3,4,10.7805,19.91992268
KIR,1,unk,0.55,2,19.225,45.26297826
KIR,1,unk,0.45,3,15.23125,45.43721319
KIR,1,zizmac,0.75,3,7.82225,40.25000488
KIR,2,acarob,6,1,6.02625,10.02867444
KIR,2,acarob,8,1,8.427,6.754677713
KIR,2,acarob,8.1,1,8.54525,7.696018609
KIR,2,acarob,8.4,1,8.71275,40.89791302
KIR,2,acarob,8.2,1,10.124,7.331754497
KIR,2,acarob,7.4,1,10.34375,40.56565657
KIR,2,acarob,7.8,1,10.8,0
KIR,2,acarob,7.2,2,5.19325,4.233220339
KIR,2,acarob,5.2,2,11.116,7.302365644
KIR,2,acarob,5.6,2,12.76125,5.9967073
KIR,2,acarob,6.7,2,13.31075,37.58775063
KIR,2,acarob,7.4,2,20.246,32.90176957
KIR,2,acarob,0.55,4,15.90625,45.61351953
KIR,2,acarob,0.6,4,16.328,45.64036515
KIR,2,acarob,0.35,5,13.78,47.01309525
KIR,2,acarob,0.55,5,14.73,45.86271828
KIR,2,acarob,7.2,NA,10.91125,17.59075392
KIR,2,acarob,3.9,NA,11.431,12.31146778
KIR,2,acarob,0.55,NA,17.33075,33.10961503
KIR,2,grebic,0.8,4,2.46775,44.09489967
KIR,2,grebic,0.8,4,4.51375,44.91413125
KIR,2,grebic,0.85,4,4.52075,46.36643158
KIR,2,grebic,0.82,4,5.66325,47.2400001
KIR,2,grefal,0.85,3,10.5,0
KIR,2,grefal,0.6,4,4.52075,46.36643158
KIR,2,grefal,0.65,5,7.606,42.47412703
KIR,3,acasie,0.55,2,6.256,10.00512189
KIR,3,acasie,6,2,11.365,44.36751937
KIR,3,acasie,0.4,2,13.4,13.46996659
KIR,3,acasie,3.4,2,13.92,4.724785709
KIR,3,acasie,0.6,3,1.96,25.82573135
KIR,3,acasie,0.66,3,1.982,40.25123198
KIR,3,acasie,0.55,3,2.33175,39.53129067
KIR,3,acasie,4.2,3,9.25475,9.129600344
KIR,3,acasie,5.6,3,10.7,0
KIR,3,acasie,0.6,3,11.08675,2.654048688
KIR,3,acasie,0.65,4,NA,NA
KIR,3,acasie,0.55,5,10.2,0
KIR,3,acasie,0.5,5,11.97925,1.705159652
KIR,3,acasie,5.4,NA,8.83,37.67918656
KIR,3,grefal,0.5,4,1.146,44.68530725
KIR,3,grefal,0.5,4,4.34,44.58928571
KIR,3,zizmuc,0.5,4,0.15875,42.89970627
KIR,4,acarob,5.1,0,2.34325,14.1067069
KIR,4,acarob,0.7,0,11.11625,43.85842154
KIR,4,acarob,0.6,0,16.357,38.14721337
KIR,4,acarob,1.15,0,18.832,35.44679499
KIR,4,acarob,4.5,1,2.036,13.54786714
KIR,4,acarob,4.2,1,3.22,4.209703077
KIR,4,acarob,6.5,1,4.05875,21.4188363
KIR,4,acarob,5.1,1,5.64875,10.36009766
KIR,4,acarob,5.2,1,5.70475,47.5718675
KIR,4,acarob,5.2,1,8.71575,21.06835784
KIR,4,acarob,4.9,1,10.892,30.08381723
KIR,4,acarob,5.1,1,13.15,35.87316384
KIR,4,acarob,6.5,1,13.57875,17.56295956
KIR,4,acarob,4.5,1,NA,NA
KIR,4,acarob,3.9,2,3.09475,8.451184677
KIR,4,acarob,3.6,2,3.28325,16.37407309
KIR,4,acarob,2.4,2,9.04,43.38801089
KIR,4,acarob,5.6,2,10.412,18.00639486
KIR,4,acarob,3.4,2,10.645,19.02429959
KIR,4,acarob,4.1,2,11.29375,14.01610541
KIR,4,acarob,0.7,2,13.10675,39.81309152
KIR,4,acarob,1.2,2,14.62,31.98623859
KIR,4,acarob,2.9,2,15.48625,34.23338778
KIR,4,acarob,5.9,2,17.05,29.71336647
KIR,4,acarob,0.7,3,1.472,11.1028472
KIR,4,acarob,2.7,3,8.644,20.23070103
KIR,4,acarob,0.6,3,13.612,42.17673623
KIR,4,acarob,0.65,4,13.718,40.12951491
KIR,4,acarob,0.8,4,13.90375,36.18530724
KIR,4,acarob,5.4,4,14.494,18.49794486
KIR,4,acarob,0.65,5,8.46,38.34717202
KIR,4,comtro,0.8,0,0.45475,6.183300287
KIR,4,comtro,0.8,1,14.816,36.56548683
KIR,4,diccin,0.5,0,0.03,3.299863634
KIR,4,diccin,0.65,0,0.34075,4.186154493
KIR,4,diccin,0.6,0,1.35775,48.53149228
KIR,4,diccin,0.6,0,3.88825,41.11340831
KIR,4,diccin,0.7,0,4.01875,38.48090071
KIR,4,diccin,0.55,0,5.91025,33.10387781
KIR,4,diccin,0.5,0,7.37875,5.823576945
KIR,4,diccin,0.5,0,7.52975,6.580491238
KIR,4,diccin,0.6,0,7.648,39.36430087
KIR,4,diccin,0.35,0,9.04375,7.887368759
KIR,4,diccin,0.5,0,9.746,7.827227095
KIR,4,diccin,0.4,0,10.132,8.615832867
KIR,4,diccin,0.95,0,10.259,26.10956428
KIR,4,diccin,0.5,0,10.64,7.98
KIR,4,diccin,0.5,0,12.05875,24.50830432
KIR,4,diccin,0.6,0,12.10875,43.3804703
KIR,4,diccin,0.5,0,12.321,31.53292229
KIR,4,diccin,0.6,0,12.54,26.768375
KIR,4,diccin,0.6,0,12.57275,42.57800853
KIR,4,diccin,0.5,0,13.20625,9.891661182
KIR,4,diccin,0.5,0,13.25725,11.1146445
KIR,4,diccin,0.85,0,14.592,37.52147701
KIR,4,diccin,0.75,0,15.03625,16.46818709
KIR,4,diccin,0.5,0,15.87925,0.81204645
KIR,4,diccin,0.6,0,17.50125,13.16496291
KIR,4,diccin,0.65,2,12.28475,42.87785724
KIR,4,diccin,0.8,2,12.98275,39.6555231
KIR,4,diccin,0.65,NA,4.06,18.86813186
KIR,4,grebic,0.9,2,4.48,21.2325128
KIR,4,grefall,1.05,2,10.7320625,29.82711388
KIR,4,unk,0.4,2,6.371,34.02344346
KIT,1,acanil,0.9,0,15.2,42.38685348
KIT,1,acarob,3.4,0,6.74475,30.11260833
KIT,1,acarob,3.9,0,7.88,31.4003871
KIT,1,acarob,0.5,0,12.952,43.04761221
KIT,1,acarob,2.9,0,18.107,5.057326468
KIT,1,acarob,4.9,1,2.3,0
KIT,1,acarob,4.9,1,10.204,2.009573089
KIT,1,acarob,4.4,1,11.34375,3.913992327
KIT,1,acarob,3.6,1,12.6,0
KIT,1,acarob,4.4,1,16.027,6.24301778
KIT,1,acarob,4.9,1,16.27,12.13989703
KIT,1,acarob,4.4,1,16.84375,3.482540156
