ID,X,Y,MAP,Dry_ratio,Fire,Elev.mn,Elev.sd,Slope.mn,Slope.sd,Curvat.mn,Curvat.sd,WCI
115,724577.4,9665180.778,785.8398,0.232792,0,1595.667,2.7838822,1.4546335,0.97269573,-0.019549689,0.073252664,0.092246987
116,774093.4222,9665131.811,566.2998,0.24617,0,1293.778,1.0929064,0.6950517,0.39660221,0.016943065,0.058092522,0.021957938
117,772984.8889,9665044.111,566.7988,0.2471168,0,1294.25,0.9574271,0.4444199,0.18291592,-0.029324535,0.043363311,0.087889723
118,733844.9111,9664836.444,744.5184,0.2263066,0,1631.333,1.6329932,0.5936268,0.30345634,0.025414596,0.086964263,0.177264882
119,724528.3,9664081.111,791.4821,0.2311026,0.076923077,1616.833,1.602082,0.903515,0.40400824,0.005864907,0.035384399,0.075356524
120,732089.6667,9664138,756.9834,0.2271044,0,1621.75,2.9860788,2.7426332,0.51140086,-0.008797361,0.045303006,0.085099019
121,732759.3778,9664146.556,753.9775,0.226707,0,1633,1.2649111,0.5153162,0.21707101,0.001954969,0.056213434,0.154136813
122,733739.2667,9664065,748.5496,0.2256825,0,1637.5,2.6457513,1.4913347,0.62083984,0.026392082,0.092049774,0.204426758
123,734376.8778,9663972.667,745.6998,0.2258745,0,1638,1.4142136,0.4741263,0.17077094,0.011729814,0.081266536,0.168204579
124,735346.7,9663941.111,739.4318,0.2256722,0,1636.25,1.5,0.596753,0.04968424,0.011729814,0.051575625,0.171652234
125,733570.5778,9663072.333,753.7348,0.2247987,0,1641.833,0.9831921,0.3182687,0.21657611,0.003909938,0.043679451,0.150228035
126,774443.5222,9663146.444,574.014,0.2478177,0,1307,1.4142136,1.7813349,0.33760953,-0.032256989,0.039921597,0.031787621
127,774697.6111,9662747.778,576.4055,0.2488081,0,1320.833,1.7224014,1.7220158,0.30400956,-0.003909938,0.045530217,0.015800465
128,733426.8556,9662417.667,758.8984,0.2239198,0,1642.667,1.2110601,0.5561537,0.1752441,-0.023459628,0.043257417,0.188085195
129,768501.8889,9661264.444,571.3483,0.2479052,0,1366.667,2.3380904,1.2352576,0.53689405,-0.005864907,0.089869056,0.149788713
130,722214.4,9658158.1,819.6627,0.223978,0.153846154,1640.222,1.5634719,0.6829771,0.2716404,0.003909938,0.062620072,0.269234847
131,749707.6889,9648932.778,855.6582,0.2171244,0,1826.667,9.5008772,6.829856,1.64996977,0.111433233,0.118871118,0.149870775
132,729480.0222,9644316,850.4024,0.2100686,0,1706.778,1.3944334,0.670873,0.3623756,0.011729814,0.064246838,0.172707319
133,733942.2778,9633954.889,832.6989,0.2139632,0,1632.5,0.5773503,0.7890402,0.11003359,-0.002932454,0.020032471,0.001777963
134,723080.1111,9630923.111,872.1605,0.210773,0,1706.833,0.7527727,0.1689805,0.04283092,0.013684783,0.04598127,0.010907547
135,731918.2,9630871.5,840.305,0.2144656,0,1627.5,1,0.6495185,0.26677446,0.035189442,0.043888946,0.167221905
136,728367.45,9630647.5,853.6013,0.2136521,0,1663.222,0.9718253,0.8395485,0.29968194,-0.013033126,0.064365701,0.230456004
